up series,time,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout
50,2079.8,up,10.5,8,51,0,2,,0.86,1,
51,2090.5,up,4,8,52,0,2,,0.86,1,
52,2095.97,up,51.26,8,43,0,4,ovp,0.86,1,0.892857143
53,2238.17,up,1.9,9,34,1,5,,0.84,0.5,
54,2240.37,up,1.83,9,24,1,4,,0.84,0.5,
55,2243,up,4,9,14,0,2,,0.84,1,
56,2247.13,up,2.4,9,13,0,3,,0.84,1,
57,2254.23,up,2.94,9,21,0,3,,0.84,1,
58,2257.8,up,2.33,9,31,0,4,,0.84,1,
59,2260.73,up,3.34,9,41,0,3,,0.84,1,
60,2265.13,up,3.9,9,52,0,3,,0.84,1,
61,2269.2,up,2.57,9,51,0,3,,0.84,1,
62,2271.97,up,3,9,41,0,4,,0.84,1,
63,2275.13,up,19.54,9,51,0,4,ovp,0.84,1,0.909090909
64,2398.53,up,1.87,10,52,0,4,,0.82,1,
65,2403.33,up,2.17,10,43,1,5,,0.82,0.5,
66,2405.8,up,1.93,10,33,0,4,,0.82,1,
67,2409.5,up,1.83,10,24,1,5,,0.82,0.5,
68,2412.63,up,2.45,10,15,0,2,,0.82,1,
69,2444.8,up,11.23,10,11,0,3,ovp,0.82,1,0.833333333
70,2581.53,up,0.74,11,12,1,5,,0.8,0.5,
71,2582.5,up,2.13,11,13,0,4,,0.8,1,
72,2584.97,up,31.53,11,14,0,3,ovp,0.8,1,0.833333333
73,2713.7,up,2.5,12,13,0,5,,0.78,1,
74,2716.5,up,2.4,12,12,1,6,,0.78,0.5,
75,2719.93,up,1.84,12,22,1,3,,0.78,0.5,
76,2722.5,up,1.17,12,32,1,5,,0.78,0.5,
77,2723.83,up,3.87,12,33,0,5,,0.78,1,
78,2727.9,up,1.17,12,34,1,6,,0.78,0.5,
79,2730.43,up,1.77,12,35,1,3,,0.78,0.5,
80,2732.97,up,1.3,12,45,0,1,,0.78,1,
81,2734.9,up,4.47,12,55,0,1,,0.78,1,
82,2739.63,up,34,12,54,0,1,ovp,0.78,1,0.75
83,2873.67,up,11,13,55,0,2,,0.76,1,
84,2884.83,up,1.9,13,45,0,2,,0.76,1,
85,2887.67,up,1.76,13,35,1,4,,0.76,0.5,
86,2890.33,up,1.64,13,25,0,2,,0.76,1,
87,2892.47,up,8.4,13,15,0,3,,0.76,1,
88,2902.53,up,5.1,13,25,0,3,,0.76,1,
89,2908.93,up,1.17,13,35,1,5,,0.76,0.5,
90,2911.8,up,3.67,13,44,1,4,,0.76,0.5,
91,2915.77,up,1.03,13,54,1,2,,0.76,0.5,
92,2917.07,up,2.73,13,53,0,1,,0.76,1,
93,2920.13,up,2.94,13,52,0,5,,0.76,1,
94,2923.33,up,5.07,13,51,1,5,,0.76,0.5,
95,2929.93,up,2.5,13,52,0,6,,0.76,1,
96,2932.97,up,1.66,13,53,0,2,,0.76,1,
97,2934.7,up,2.33,13,54,1,3,,0.76,0.5,
98,2937.17,up,1.36,13,55,0,3,,0.76,1,
99,2941.07,up,0.7,13,45,0,3,,0.76,1,
100,2943.13,up,2.4,13,34,1,7,,0.76,0.5,
101,2945.77,up,1.13,13,24,1,6,,0.76,0.5,
102,2947.9,up,1.83,13,13,0,6,,0.76,1,
103,2950.07,up,0.46,13,12,1,7,,0.76,0.5,
104,2951.47,up,6.26,13,21,0,4,,0.76,1,
105,3020.03,up,3.27,13,11,1,4,,0.76,0.5,
106,3023.97,up,39.03,13,21,0,5,ovp,0.76,1,0.791666667
107,3237.2,up,1.3,14,22,1,4,,0.74,0.5,
108,3239.17,up,1.3,14,12,1,8,,0.74,0.5,
109,3241.07,up,2.83,14,13,0,7,,0.74,1,
110,3244.07,up,2.63,14,14,1,4,,0.74,0.5,
111,3246.9,up,2.5,14,15,0,4,,0.74,1,
112,3250.27,up,2.66,14,25,0,4,,0.74,1,
113,3253.07,up,0.96,14,24,1,7,,0.74,0.5,
114,3254.33,up,2.34,14,34,1,8,,0.74,0.5,
115,3258.23,up,5.77,14,33,0,6,,0.74,1,
116,3265.4,up,25.3,14,43,1,6,,0.74,0.5,
117,3291.03,up,2.14,14,42,0,5,,0.74,1,
118,3293.8,up,4.93,14,52,0,7,,0.74,1,
119,3298.93,up,8.4,14,51,1,6,,0.74,0.5,
120,3310.23,up,2.9,14,52,0,8,,0.74,1,
121,3313.27,up,8.56,14,53,0,3,ovp,0.74,1,0.766666667
122,3481.13,up,1.1,15,43,1,7,,0.72,0.5,
123,3482.43,up,1.4,15,44,1,5,,0.72,0.5,
124,3486.1,up,3.97,15,45,0,4,,0.72,1,
125,3490.23,up,1.2,15,55,0,4,,0.72,1,
126,3491.87,up,6.26,15,54,1,4,,0.72,0.5,
127,3500.97,up,9.26,15,54,1,5,,0.72,0.5,
128,3510.53,up,32.5,15,55,0,5,ovp,0.72,1,0.714285714
129,3604.87,up,2.23,16,45,0,5,,0.7,1,
130,3607.6,up,3.53,16,35,1,6,,0.7,0.5,
131,3612,up,2.43,16,25,0,5,,0.7,1,
132,3616.33,up,9.37,16,14,1,5,,0.7,0.5,
133,3632.4,up,2.1,16,15,0,5,,0.7,1,
134,3635.53,up,3.97,16,25,0,6,,0.7,1,
135,3639.73,up,0.9,16,24,1,8,,0.7,0.5,
136,3642.6,up,3.87,16,14,1,6,,0.7,0.5,
137,3646.87,up,2.36,16,15,0,6,,0.7,1,
138,3657.23,up,21.14,16,45,0,6,ovp,0.7,1,0.8
139,3797.17,up,2,17,45,1,7,,0.68,0.5,
140,3799.4,up,3.07,17,55,1,6,,0.68,0.5,
141,3805.2,up,0.93,17,54,1,6,,0.68,0.5,
142,3807.77,up,0.5,17,43,1,8,,0.68,0.5,
143,3810.37,up,5.2,17,34,1,9,,0.68,0.5,
144,3815.83,up,2.37,17,24,1,9,,0.68,0.5,
145,3819.37,up,1.06,17,14,1,7,,0.68,0.5,
146,3820.73,up,1.64,17,15,0,7,,0.68,1,
147,3823.8,up,29.43,17,25,0,7,ovp,0.68,1,0.611111111
148,3959.07,up,2.96,18,24,1,10,,0.66,0.5,
149,3964.67,up,2.56,18,13,0,8,,0.66,1,
150,3967.37,up,1.16,18,12,1,9,,0.66,0.5,
151,3969.77,up,2.7,18,21,1,6,,0.66,0.5,
152,3972.67,up,3.46,18,31,0,5,,0.66,1,
153,3977.03,up,18.74,18,41,0,5,ovp,0.66,1,0.75
154,4089.53,up,3.8,19,52,0,9,,0.64,1,
155,4093.4,up,1.13,19,53,1,4,,0.64,0.5,
156,4094.73,up,1.37,19,54,1,7,,0.64,0.5,
157,4096.73,up,0.9,19,55,1,7,,0.64,0.5,
158,4097.83,up,1.84,19,45,1,8,,0.64,0.5,
159,4100.7,up,2.2,19,35,1,7,,0.64,0.5,
160,4104.3,up,0.63,19,24,1,11,,0.64,0.5,
161,4105.23,up,4.3,19,25,1,8,,0.64,0.5,
162,4133.9,up,1.5,19,54,1,8,,0.64,0.5,
163,4135.6,up,1.47,19,44,1,6,,0.64,0.5,
164,4137.47,up,4.2,19,43,1,9,,0.64,0.5,
165,4143.37,up,27.64,19,33,0,7,ovp,0.64,1,0.583333333
166,4341.4,up,4.63,20,25,1,9,,0.62,0.5,
167,4403.97,up,3.4,20,54,1,9,,0.62,0.5,
168,4409.4,up,2.3,20,45,1,9,,0.62,0.5,
169,4412.87,up,0.76,20,35,1,8,,0.62,0.5,
170,4414.87,up,3.76,20,24,1,12,,0.62,0.5,
171,4420.13,up,1.24,20,14,1,8,,0.62,0.5,
172,4421.5,up,2.17,20,13,0,9,,0.62,1,
173,4423.87,up,2.56,20,12,1,10,,0.62,0.5,
174,4429.2,up,2.27,20,21,1,7,,0.62,0.5,
175,4431.8,up,9.8,20,31,0,6,ovp,0.62,1,0.6
176,4744.53,up,5,21,25,1,10,,0.6,0.5,
177,4750.67,up,3.63,21,15,0,8,don't like 15?,0.6,1,
178,4754.47,up,1.36,21,14,1,9,,0.6,0.5,
179,4756.03,up,3.94,21,13,0,10,don't like 13?,0.6,1,
180,4788.13,up,3.44,21,45,1,10,,0.6,0.5,
181,4794.57,up,16.86,21,34,1,10,ovp,0.6,0.5,0.666666667
182,4951.1,up,4.27,22,24,1,13,,0.593333333,0.5,
183,4959.53,up,1.97,22,14,1,10,,0.593333333,0.5,
184,4962.2,up,3,22,13,0,11,,0.593333333,1,
185,4965.67,up,11.76,22,12,1,11,,0.593333333,0.5,
186,4977.7,up,1.43,22,13,0,12,,0.593333333,1,
187,4979.63,up,1.54,22,14,1,11,,0.593333333,0.5,
188,4982.33,up,2.27,22,24,1,14,,0.593333333,0.5,
189,4985.3,up,2.43,22,23,0,2,,0.593333333,1,
190,4987.93,up,3.54,22,22,1,5,,0.593333333,0.5,
191,4993.73,up,7.97,22,11,1,5,,0.593333333,0.5,
192,5002.9,up,21.5,22,12,1,12,,0.593333333,0.5,
193,5024.63,up,4.2,22,13,0,13,,0.593333333,1,
194,5029.3,up,10.17,22,14,1,12,,0.593333333,0.5,
195,5054.47,up,13.23,22,53,1,5,ovp,0.593333333,0.5,0.642857143
196,5169,up,1.6,23,52,0,10,,0.586666667,1,
197,5175.5,up,2.1,23,21,1,8,,0.586666667,0.5,
198,5182.8,up,5.67,23,21,1,9,,0.586666667,0.5,
199,5192.6,up,0.3,23,12,1,13,,0.586666667,0.5,
200,5193.2,up,1.87,23,13,0,14,,0.586666667,1,
201,5195.5,up,3.27,23,23,0,3,,0.586666667,1,
202,5198.93,up,2.4,23,24,1,15,,0.586666667,0.5,
203,5202.9,up,1.53,23,14,1,13,,0.586666667,0.5,
204,5204.53,up,3.2,23,13,0,15,,0.586666667,1,
205,5208.03,up,1.9,23,12,1,14,,0.586666667,0.5,
206,5215.4,up,1.43,23,31,1,7,,0.586666667,0.5,
207,5240.73,up,26.2,23,51,1,7,ovp,0.586666667,0.5,0.666666667
208,5506.87,up,8.26,24,52,0,11,,0.58,1,
209,5516.13,up,2.5,24,53,2,6,,0.58,0.333333333,
210,5518.73,up,1.74,24,54,1,10,,0.58,0.5,
211,5520.73,up,2.4,24,55,1,8,,0.58,0.5,
212,5523.5,up,2.03,24,45,1,11,,0.58,0.5,
213,5527.17,up,0.56,24,35,1,9,,0.58,0.5,
214,5527.9,up,0.7,24,34,2,11,,0.58,0.333333333,
215,5529.27,up,3.16,24,24,1,16,,0.58,0.5,
216,5534.73,up,2.37,24,13,0,16,,0.58,1,
217,5537.37,up,2.23,24,12,1,15,,0.58,0.5,
218,5556.73,up,4.5,24,21,1,10,,0.58,0.5,
219,5561.63,up,3.07,24,31,1,8,,0.58,0.5,
220,5566.27,up,3.03,24,41,1,6,,0.58,0.5,
221,5569.43,up,0.7,24,51,2,8,,0.58,0.333333333,
222,5570.37,up,3.36,24,52,0,12,don't like 52?,0.58,1,
223,5573.87,up,3.86,24,53,2,7,,0.58,0.333333333,
224,5695.47,up,2.96,24,14,1,14,,0.58,0.5,
225,5698.97,up,32.63,24,13,0,17,ovp,0.58,1,0.574074074
226,5951.07,up,5.43,25,14,1,15,,0.56,0.5,
227,5957.4,up,2.4,25,15,0,9,,0.56,1,
228,5960.4,up,4.77,25,25,1,11,,0.56,0.5,
229,5967.4,up,5.7,25,34,2,12,,0.56,0.333333333,
230,5976.07,up,4.6,25,43,1,10,,0.56,0.5,
231,5981.13,up,2,25,42,0,6,,0.56,1,
232,5983.5,up,6.4,25,41,1,7,,0.56,0.5,
233,6014.83,up,4.87,25,52,0,13,,0.56,1,
234,6020.67,up,1.73,25,53,2,8,,0.56,0.333333333,
235,6023.47,up,11,25,54,1,11,,0.56,0.5,
236,6035,up,1.27,25,44,1,7,,0.56,0.5,
237,6036.7,up,2.4,25,43,1,11,,0.56,0.5,
238,6040.73,up,31.57,25,52,0,14,ovp,0.56,1,0.628205128
