family_E,family_C,freq_ind,id0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
Bibionidae,毛蚋科,000101,26,0,0,0,5,0,0,0,0,0,3,0,12,0,0,0,0,0,2,0,0,0,0,0,4
Empididae,舞虻科,111111,27,0,0,2,2,4,0,0,0,46,64,8,1,1,0,20,136,3,0,0,2,89,11,3,1
Anthomyiidae,花蠅科,111111,28,0,0,5,10,1,0,0,1,9,6,2,1,1,1,4,10,0,0,0,2,8,10,1,0
Muscidae,家蠅科,111111,29,0,1,4,1,4,0,0,0,7,28,5,7,1,1,24,21,44,1,0,0,28,28,8,0
Lauxaniidae,縞蠅科,111111,30,7,0,2,0,4,0,1,3,5,35,49,4,10,9,2,15,22,2,3,2,5,10,14,0
Phoridae,蚤蠅科,011111,31,0,1,4,0,0,0,0,0,63,5,7,13,0,1,72,13,0,0,0,0,23,2,4,0
Agromyzidae,潛葉蠅科,101101,32,1,0,0,0,0,0,0,0,6,1,0,1,0,0,2,3,0,0,0,0,5,0,0,0
Drosophilidae,果蠅科,011111,33,0,2,4,0,0,0,0,0,4,4,0,1,0,0,24,6,2,0,0,0,0,15,1,0
Thripidae,薊馬科,111111,34,0,14,12,1,0,0,33,38,22,5,1,14,12,25,14,23,8,21,2,38,0,10,14,8
Phlaeothripidae,管薊馬科,011111,35,0,1,39,0,0,0,0,0,0,1,0,0,0,3,2,6,1,2,0,4,4,0,3,0
Curculionidae,象鼻蟲科,001110,36,0,0,4,4,0,0,0,0,3,3,1,0,0,0,0,2,1,0,0,0,0,1,1,0
Lathridiidae,姬薪蟲科,101011,37,0,0,2,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Staphylinidae,隱翅蟲科,011111,38,0,0,5,0,0,0,0,1,13,2,3,1,0,2,2,6,7,0,0,0,3,1,9,0
Chrysomelidae,金花蟲科,001110,39,0,0,1,2,1,0,0,0,11,2,4,0,0,0,3,2,5,0,0,0,5,1,0,0
Cantharidae,菊虎科,001101,40,0,0,75,0,0,0,0,0,31,2,0,3,0,0,14,4,0,1,0,0,8,0,0,0
corylophidae,瑣微蟲科,001110,41,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0
Entomobryidae,長角跳蟲科,111111,42,19,18,135,0,0,0,49,121,43,333,1,87,389,1227,54,3874,189,134,18,186,10,149,449,216
Sminthuridae,圓跳蟲科,111111,43,313,134,8,0,0,0,294,149,0,0,0,765,1518,393,13,16,23,650,130,12,7,6,224,792
Hypogastruridae,球角跳蟲科,111111,44,0,4,0,0,0,0,2,9,8,2,0,6,16,20,10,13,6,146,13,17,0,0,31,0
Hemerobiidae,姬蛉科,011110,45,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Geometridae,尺蠖蛾科,111111,46,3,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,3,2
Forficulidae,蠼?科,111111,47,0,1,0,1,1,0,0,0,0,1,1,9,1,0,1,0,0,0,0,0,0,0,3,0
